ID;Test:1. nadala test (Punktid);Test:2. nadala test (Punktid);Test:3. nadala test (Punktid);Test:4. nadala test (Punktid);Test:5. nadala test (Punktid);Test:6. nadala test (Punktid);Test:7. nadala test (Punktid);Test:8. nadala test (Punktid);Test:9. nadala test (Punktid);Test:10. nadala test (Punktid);Test:11. nadala test (Punktid);Test:12. nadala test (Punktid);Test:13. nadala test (Punktid);Test:14. nadala test (Punktid);Test:15. nadala test (Punktid);Test:16. nadala test (Punktid);Videoloengud kokku (Punktid);VPL harjutus:1. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:2. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:3. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:4. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:5. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:7. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:8. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:9. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:10. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:11. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:13. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:14. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:15. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);Kodutood kokku (Punktid);ulesanne:Esita projekti kirjeldus (Punktid);ulesanne:Projekti algversioon (Punktid);ulesanne:Projekti loppversioon (Punktid);Projekt kokku (Punktid);Test:1. kontrolltoo arvestuslik osa (Punktid);VPL harjutus:1. kontrolltoo programmide esitamine (Punktid);Test:1. KT jareltoo arvestuslik osa (Punktid);VPL harjutus:1. KT jareltoo programmide esitamine (Punktid);Test:1. KT 5.01 lisajareltoo arvestuslik osa (Punktid);VPL harjutus:1. KT 5.01 lisajareltoo programmide esitamine (Punktid);Test:1. KT 25.01 lisajareltoo arvestuslik osa (Punktid);VPL harjutus:1. KT 25.01 lisajareltoo programmide esitamine (Punktid);Test:2. kontrolltoo arvestuslik osa (Punktid);VPL harjutus:2. kontrolltoo programmide esitamine (Punktid);Test:2. KT jareltoo arvestuslik osa (Punktid);VPL harjutus:2. KT jareltoo programmide esitamine (Punktid);Test:2. KT 6.01 lisajareltoo arvestuslik osa (Punktid);VPL harjutus:2. KT 6.01 lisajareltoo programmide esitamine (Punktid);Test:2. KT 26.01 lisajareltoo arvestuslik osa (Punktid);VPL harjutus:2. KT 26.01 lisajareltoo programmide esitamine (Punktid);Kontrolltood kokku (Punktid);Eksamile paas (Punktid);Test:8.01 eksami arvestuslik osa (Punktid);Test:8.01 eksami punktilise osa 1. ulesanne (Punktid);VPL harjutus:8.01 eksami punktilise osa 2. ja 3. ulesande esitamine (Punktid);Test:14.01 eksami arvestuslik osa (Punktid);Test:14.01 eksami punktilise osa 1. ulesanne (Punktid);VPL harjutus:14.01 eksami punktilise osa 2. ja 3. ulesande esitamine (Punktid);Test:27.01 eksami arvestuslik osa (Punktid);Test:27.01 eksami punktilise osa 1. ulesanne (Punktid);VPL harjutus:27.01 eksami punktilise osa 2. ja 3. ulesande esitamine (Punktid);Eksam kokku (Punktid);VPL harjutus:1. lisaulesanne 0 Muster (Punktid);VPL harjutus:2. lisaulesanne 0 Tekstispiraal (Punktid);VPL harjutus:3. lisaulesanne 0 Salasona (Punktid);VPL harjutus:4. lisaulesanne 0 Pakkimine (Punktid);VPL harjutus:5. lisaulesanne 0 Ristmik (Punktid);VPL harjutus:6. lisaulesanne 0 Laburint (Punktid);8. lisaulesanne 0 Loppkusitlus (Punktid);Praktikumide lisapunktid (Punktid);Projektikonkursi punktid (Punktid);Lisapunktid kokku (Punktid);VPL harjutus:Pokkerikate tuvastamise automaatkontroll (Punktid);Test:Kontrolltoo harjutustest (Punktid);Test:Kontrolltoo harjutustest (Punktid);Test:Naidiseksami arvestuslik osa (Punktid);Test:Naidiseksami punktilise osa 1. ulesanne (Punktid);Kogutulemus (Punktid);Hinne (Punktid)
1;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.5;12.5;0.0;5;5;10.0;1;19.9;0.0;0.0;0.0;0.0;0.0;0.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;39.9;1;0.0;0.0;0.0;1;10.0;20.0;0.0;0.0;0.0;30.0;2;2;2;2;2;1.8;1;1;0.0;10.0;0.0;8;9;4;9.6;109.4;100.0
2;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.4;0.5;0.4;0.4;7;0.5;0.5;0.5;0.5;0.0;0.5;0.1;0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.3;0.5;0.3;0.5;11.2;1;5;5;10.0;1;19.5;0.0;0.0;0.0;0.0;0.0;0.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;39.5;1;0.0;0.0;0.0;1;9.9;19;0.0;0.0;0.0;28.9;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;8;6.5;0.0;0.0;97.6;97.6
3;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.1;0.0;6.98;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.2;0.1;0.4;0.5;0.5;0.5;0.2;0.5;0.0;0.0;10.8;1;5;5;10.0;1;17.5;0.0;0.0;0.0;0.0;0.0;0.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;1;1;9.5;12;0.0;0.0;0.0;0.0;0.0;0.0;21.5;1.9;0.0;2;2;1;0.0;1;0.0;1;8.9;0.0;8;8.75;4;9.6;95.68;95.68
4;0.5;0.5;0.0;0.5;0.5;0.5;0.5;0.5;0.2;0.5;0.3;0.4;0.4;0.4;0.4;0.2;6.13;0.5;0.5;0.5;0.5;0.5;0.5;0.3;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.3;0.5;0.0;0.5;0.5;0.5;0.5;0.5;0.3;0.5;0.0;0.5;11.4;1;5;5;10.0;1;8;0.0;0.0;0.0;18;0.0;0.0;0.0;0.0;1;11;0.0;0.0;0.0;0.0;29;1;1;9.6;3;0.0;0.0;0.0;0.0;0.0;0.0;12.6;2;0.0;0.0;0.0;0.0;0.0;1;0.0;1;4;0.0;8;6.5;3;10.0;73.13;73.13
5;0.5;0.4;0.4;0.2;0.3;0.4;0.5;0.5;0.2;0.3;0.2;0.5;0.4;0.3;0.3;0.2;5.53;0.0;0.5;0.3;0.5;0.5;0.5;0.3;0.5;0.5;0.5;0.0;0.5;0.0;0.5;0.1;0.5;0.3;0.5;0.3;0.5;0.3;0.5;0.0;0.5;0.1;0.0;8.7;0.0;3;5;8;1;6.5;0.0;11.5;0.0;0.0;0.0;0.0;0.0;4;0.0;0.0;0.0;0.0;1;8.5;20.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6;6.3;2.1;0.0;42.23;0.1
6;0.5;0.4;0.5;0.4;0.5;0.4;0.5;0.5;0.3;0.4;0.3;0.4;0.4;0.3;0.3;0.3;6.22;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;12.8;1;5;5;10.0;1;11;0.0;0.0;0.0;0.0;0.0;0.0;1;17;0.0;0.0;0.0;0.0;0.0;0.0;28;1;0.0;0.0;0.0;1;8.9;19;0.0;0.0;0.0;27.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.5;8.5;4;9.2;84.92;84.92
7;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.4;0.5;0.3;0.0;6.62;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.0;0.4;0.5;0.4;0.5;0.5;0.5;0.4;0.5;0.0;0.0;11.1;1;5;5;10.0;1;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;19;0.0;0.0;0.0;0.0;38;1;1;9.1;17.5;0.0;0.0;0.0;0.0;0.0;0.0;26.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.5;5.75;3;5.2;92.32;92.32
8;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.5;12.9;1;5;5;10.0;1;19.5;0.0;0.0;0.0;0.0;0.0;0.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;39.5;1;1;9.5;19.5;0.0;0.0;0.0;0.0;0.0;0.0;29;2;0.0;2;2;0.0;0.0;1;0.0;0.0;7;0.0;8;9;4;10.0;105.4;100.0
9;0.5;0.5;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.1;0.3;0.0;6.2;0.5;0.5;0.5;0.5;0.5;0.5;0.3;0.0;0.0;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.0;0.5;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.5;8.3;0.0;5;5;10.0;1;5.5;0.0;18.5;0.0;0.0;0.0;0.0;1;17;0.0;0.0;0.0;0.0;0.0;0.0;35.5;1;1;9.5;15;0.0;0.0;0.0;0.0;0.0;0.0;24.5;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;6;8;2;7.6;85.5;85.5
10.0;0.0;0.5;0.3;0.0;0.0;0.3;0.0;0.0;0.5;0.0;0.4;0.0;0.0;0.0;0.0;0.0;1.91;0.5;0.5;0.0;0.5;0.5;0.5;0.4;0.0;0.2;0.5;0.0;0.5;0.0;0.5;0.5;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;6.1;0.0;5;5;10.0;1;11.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.51;0.0
